distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
273,17,35,6.62,False
267,17,35,6.62,False
263,17,35,6.62,False
258,17,35,6.62,False
253,17,35,6.62,False
248,17,35,6.62,False
243,17,35,6.62,False
239,17,35,6.62,False
234,17,35,6.62,False
230,17,35,6.63,False
225,17,35,6.63,False
220,17,35,6.63,False
215,17,35,6.63,False
211,17,35,6.63,False
205,17,35,6.63,False
200,17,35,6.63,False
195,17,35,6.63,False
190,17,35,6.63,False
185,17,35,6.63,False
180,17,35,6.64,False
175,17,35,6.64,False
169,17,35,6.64,False
166,17,35,6.64,False
161,17,35,6.64,False
156,17,35,6.64,False
152,17,35,6.64,False
147,17,35,6.64,False
142,17,35,6.64,False
138,17,35,6.64,False
133,17,35,6.65,False
128,17,35,6.65,False
123,17,35,6.65,False
118,17,35,6.65,False
113,17,35,6.65,False
108,17,35,6.65,False
104,17,35,6.65,False
100,17,35,6.65,False
94,17,35,6.65,False
94,17,35,6.65,True
298,25,50,6.69,False
292,25,50,6.69,False
288,25,50,6.69,False
283,25,50,6.7,False
278,25,50,6.7,False
273,25,50,6.7,False
268,25,50,6.7,False
263,25,50,6.7,False
258,25,50,6.7,False
254,25,50,6.7,False
249,25,50,6.7,False
245,25,50,6.7,False
239,25,50,6.7,False
234,25,50,6.71,False
229,25,50,6.71,False
225,25,50,6.71,False
220,25,50,6.71,False
214,25,50,6.71,False
209,25,50,6.71,False
204,25,50,6.71,False
199,25,50,6.71,False
194,25,50,6.71,False
190,25,50,6.71,False
185,25,50,6.72,False
180,25,50,6.72,False
176,25,50,6.72,False
171,25,50,6.72,False
166,25,50,6.72,False
161,25,50,6.72,False
157,25,50,6.72,False
152,25,50,6.72,False
147,25,50,6.72,False
142,25,50,6.72,False
136,25,50,6.73,False
132,25,50,6.73,False
127,25,50,6.73,False
122,25,50,6.73,False
116,25,50,6.73,False
111,25,50,6.73,False
107,25,50,6.73,False
101,25,50,6.73,False
96,25,50,6.73,False
91,25,50,6.73,False
86,25,50,6.74,False
86,25,50,6.74,True
552,17,35,6.78,False
547,17,35,6.78,False
542,17,35,6.78,False
537,17,35,6.78,False
532,17,35,6.78,False
527,17,35,6.78,False
522,17,35,6.78,False
517,17,35,6.78,False
512,17,35,6.78,False
508,17,35,6.78,False
502,17,35,6.79,False
498,17,35,6.79,False
493,17,35,6.79,False
488,17,35,6.79,False
483,17,35,6.79,False
478,17,35,6.79,False
473,17,35,6.79,False
468,17,35,6.79,False
