,distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
570,85,25,50,6.8070000000002695,True
571,79,25,50,6.80800000000027,True
572,73,25,50,6.80900000000027,True
573,66,25,50,6.8100000000002705,True
574,60,25,50,6.811000000000271,True
575,53,25,50,6.812000000000271,True
576,46,25,50,6.8130000000002715,True
577,41,25,50,6.814000000000272,True
578,34,25,50,6.815000000000272,True
579,28,25,50,6.8160000000002725,True
580,21,25,50,6.817000000000273,True
581,16,25,50,6.818000000000273,True
582,9,25,50,6.8190000000002735,True
583,3,25,50,6.820000000000274,True
584,-3,25,50,6.821000000000274,True
585,-9,25,50,6.8220000000002745,True
586,-16,25,50,6.823000000000275,True
587,-22,25,50,6.824000000000275,True
588,-28,25,50,6.8250000000002755,True
589,-33,25,50,6.826000000000276,True
590,-41,25,50,6.827000000000276,True
591,-47,25,50,6.8280000000002765,True
592,-53,25,50,6.829000000000277,True
593,-59,25,50,6.830000000000277,True
594,-65,25,50,6.8310000000002775,True
595,-72,25,50,6.832000000000278,True
596,-78,25,50,6.833000000000278,True
597,-84,25,50,6.8340000000002785,True
598,-91,25,50,6.835000000000279,False
599,529,25,50,6.836000000000279,False
600,524,25,50,6.8370000000002795,False
601,517,25,50,6.83800000000028,False
602,511,25,50,6.83900000000028,False
603,504,25,50,6.8400000000002805,False
604,497,25,50,6.841000000000281,False
605,491,25,50,6.842000000000281,False
606,484,25,50,6.8430000000002815,False
607,478,25,50,6.844000000000282,False
608,472,25,50,6.845000000000282,False
609,465,25,50,6.8460000000002825,False
610,459,25,50,6.847000000000283,False
611,453,25,50,6.848000000000283,False
612,447,25,50,6.8490000000002835,False
613,441,25,50,6.850000000000284,False
614,433,25,50,6.851000000000284,False
615,427,25,50,6.8520000000002845,False
616,420,25,50,6.853000000000285,False
617,414,25,50,6.854000000000285,False
618,408,25,50,6.8550000000002855,False
619,401,25,50,6.856000000000286,False
620,395,25,50,6.857000000000286,False
621,388,25,50,6.8580000000002865,False
622,382,25,50,6.859000000000287,False
623,376,25,50,6.860000000000287,False
624,369,25,50,6.8610000000002875,False
625,363,25,50,6.862000000000288,False
626,357,25,50,6.863000000000288,False
627,350,25,50,6.8640000000002885,False
628,344,25,50,6.865000000000289,False
629,337,25,50,6.866000000000289,False
630,331,25,50,6.8670000000002895,False
631,326,25,50,6.86800000000029,False
632,320,25,50,6.86900000000029,False
633,313,25,50,6.8700000000002905,False
634,306,25,50,6.871000000000291,False
635,300,25,50,6.872000000000291,False
636,293,25,50,6.8730000000002915,False
637,287,25,50,6.874000000000292,False
638,282,25,50,6.875000000000292,False
639,274,25,50,6.8760000000002925,False
640,268,25,50,6.877000000000293,False
641,262,25,50,6.878000000000293,False
642,255,25,50,6.8790000000002935,False
643,248,25,50,6.880000000000294,False
644,243,25,50,6.881000000000294,False
645,235,25,50,6.8820000000002945,False
646,229,25,50,6.883000000000295,False
647,223,25,50,6.884000000000295,False
648,217,25,50,6.8850000000002956,False
649,210,25,50,6.886000000000296,False
650,204,25,50,6.887000000000296,False
651,197,25,50,6.8880000000002966,False
652,192,25,50,6.889000000000297,False
653,185,25,50,6.890000000000297,False
654,179,25,50,6.8910000000002976,False
655,171,25,50,6.892000000000298,False
656,166,25,50,6.893000000000298,False
657,159,25,50,6.8940000000002986,False
658,153,25,50,6.895000000000299,False
659,146,25,50,6.896000000000299,False
660,140,25,50,6.8970000000003,False
661,134,25,50,6.8980000000003,False
662,127,25,50,6.8990000000003,False
663,121,25,50,6.900000000000301,False
664,114,25,50,6.901000000000301,False
665,108,25,50,6.902000000000301,False
666,102,25,50,6.903000000000302,False
667,96,25,50,6.904000000000302,False
668,89,25,50,6.905000000000302,False
669,83,25,50,6.906000000000303,False
670,76,25,50,6.907000000000303,False
671,71,25,50,6.908000000000303,False
672,62,25,50,6.909000000000304,False
673,57,25,50,6.910000000000304,False
674,50,25,50,6.911000000000304,True
675,44,25,50,6.912000000000305,True
676,38,25,50,6.913000000000305,True
677,31,25,50,6.914000000000305,True
678,25,25,50,6.915000000000306,True
679,19,25,50,6.916000000000306,True
680,13,25,50,6.917000000000306,True
681,7,25,50,6.918000000000307,True
682,1,25,50,6.919000000000307,True
683,-6,25,50,6.920000000000307,True
684,-12,25,50,6.921000000000308,True
685,-19,25,50,6.922000000000308,True
686,-26,25,50,6.923000000000308,True
687,-32,25,50,6.924000000000309,True
688,-38,25,50,6.925000000000309,True
689,-44,25,50,6.926000000000309,True
690,-50,25,50,6.92700000000031,True
691,-55,25,50,6.92800000000031,True
692,-63,25,50,6.92900000000031,True
693,-68,25,50,6.930000000000311,True
694,528,17,35,6.931000000000311,True
695,522,17,35,6.932000000000311,True
696,515,17,35,6.933000000000312,True
697,510,17,35,6.934000000000312,True
698,502,17,35,6.935000000000312,True
699,496,17,35,6.936000000000313,True
700,489,17,35,6.937000000000313,True
701,482,17,35,6.938000000000313,True
702,476,17,35,6.939000000000314,True
703,469,17,35,6.940000000000314,True
704,463,17,35,6.941000000000314,True
705,457,17,35,6.942000000000315,True
706,450,17,35,6.943000000000315,True
707,443,17,35,6.944000000000315,True
708,437,17,35,6.945000000000316,False
709,430,17,35,6.946000000000316,False
710,423,17,35,6.947000000000316,False
711,417,17,35,6.948000000000317,False
712,411,17,35,6.949000000000317,False
713,405,17,35,6.950000000000317,False
714,398,17,35,6.951000000000318,False
715,392,17,35,6.952000000000318,False
716,386,17,35,6.953000000000318,False
717,378,17,35,6.954000000000319,False
718,372,17,35,6.955000000000319,False
719,366,17,35,6.956000000000319,False
720,359,17,35,6.95700000000032,False
721,352,17,35,6.95800000000032,False
722,346,17,35,6.95900000000032,False
723,339,17,35,6.960000000000321,False
724,333,17,35,6.961000000000321,False
725,326,17,35,6.962000000000321,False
726,320,17,35,6.963000000000322,False
727,313,17,35,6.964000000000322,False
728,307,17,35,6.965000000000322,False
729,300,17,35,6.966000000000323,False
730,294,17,35,6.967000000000323,False
731,287,17,35,6.968000000000323,False
732,281,17,35,6.969000000000324,False
733,275,17,35,6.970000000000324,False
734,270,17,35,6.971000000000324,False
735,262,17,35,6.972000000000325,False
736,256,17,35,6.973000000000325,False
737,249,17,35,6.974000000000325,False
738,243,17,35,6.975000000000326,False
739,236,17,35,6.976000000000326,False
740,230,17,35,6.977000000000326,False
741,223,17,35,6.978000000000327,False
742,217,17,35,6.979000000000327,False
743,210,17,35,6.980000000000327,False
744,204,17,35,6.981000000000328,False
745,197,17,35,6.982000000000328,False
746,191,17,35,6.983000000000328,False
747,183,17,35,6.984000000000329,False
748,177,17,35,6.985000000000329,False
749,170,17,35,6.986000000000329,False
750,164,17,35,6.98700000000033,False
751,157,17,35,6.98800000000033,False
752,151,17,35,6.98900000000033,False
753,144,17,35,6.990000000000331,False
754,138,17,35,6.991000000000331,False
755,132,17,35,6.992000000000331,False
756,126,17,35,6.993000000000332,False
757,118,17,35,6.994000000000332,False
